Name combat lewdness agility lunacy IQ
Fry 20 25 30 40 10
Leela 45 25 40 20 20
Bender 40 45 20 30 15
Amy 35 40 30 15 35
Elzar 35 25 15 20 25
Professor 5 35 10 50 45
Zoidberg 40 15 30 35 25
Hermes 15 25 20 30 40
Scruffy 25 10 40 25 20
Nibbler 40 5 35 25 40
Zap 25 50 15 30 5
Kif 10 15 25 20 40
Cubert 15 5 20 35 45
TinnyTim 5 0 10 15 30
LaBarbara 20 25 40 10 15
Dwight 15 5 25 30 40
Mom 10 35 20 25 45
RobotSanta 50 15 40 20 35
RobotDevil 35 20 20 45 15
Donbot 20 10 15 35 20 40
Clamps 40 15 30 35 20
Nixon 5 30 10 45 25
Calculon 15 40 20 35 10
Hypnotoad 0 10 35 25 45
Lrrr 40 25 15 30 15
Ndnd 35 15 25 25 25
Morbo 30 20 15 45 10
Pazuzu 40 10 50 20 15
Wernstrom 5 15 10 40 45
Preacherbot 5 40 10 25 15
Roberto 40 20 35 45 15
Randy 15 30 20 25 40
Crushinator 30 45 5 35 25
Smitty 20 35 40 15 10
URL 35 30 35 10 15
Hedonismbot 5 45 10 25 20
Bubblegum 35 25 45 15 40
Petunia 20 40 15 35 15
Sal 30 45 20 15 20
Hattie 10 20 5 45 30
